Card Investing,,,,,,,,,,,,,,,,,,
Player,Category,Status,Year,Set,Info,Notes,Purchase Date,Purchased from,Ebay Seller,Price,Grading,PSA Sub #,Grading Result,Total,Sold,Sold Date,Profit,Percentage
Pete Crow-Armstrong,Baseball,PSA Grading,2026,Topps Chrome,SP,,"Aug 17, 2026",Ebay,murozond,$113.86,,15370614,,$113.86,,,,
Roman Anthony,Baseball,PSA - Ebay Auction,2026,Bowman,Etched In Glass ,,"May 27, 2026",Ebay,dcsports87,$292.26,$83.74,15126041,GEM MT 10,$376.00,,,,
Roman Anthony,Baseball,Lost In Transit,2026,Topps Chrome,Radiating Rookies,,"Aug 11, 2026",Ebay,murozond,$179.82,,,,$179.82,,,,
Ronald Acuña Jr.,Baseball,In Transit from PSA,2026,Bowman,Crystalized,,"Jun 9, 2026",Ebay,carterjamessports,$367.32,$84.28,15175291,NM-MT 8,$451.60,,,,
Ronaldo,Soccer,PSA Grading,2026,Panini Prizm FIFA World Cup,National Landmarks,,"Aug 2, 2026",Ebay,murozond,$388.74,,15288930,,$388.74,,,,
Shohei Ohtani,Baseball,PSA - Ebay Auction,2023,Topps Series 1,All Aces,1 in 2 Hobby boxes,"Mar 24, 2026",BlowoutCards,N/A,$299.90,$37.99,14656435,MINT 9,$337.89,,,,
Shohei Ohtani,Baseball,Waiting PSA lower tier,2022,Topps,Flashiest Feet - Gold /75,,"Jun 3, 2026",Ebay,getthosebadboyzgraded,$71.43,,,,$71.43,,,,
Shohei Ohtani,Baseball,Lost In Transit,2026,Topps Chrome,Refractor,,"Aug 11, 2026",Ebay,murozond,$58.42,,,,$58.42,,,,
Shohei Ohtani,Baseball,Lost In Transit,2026,Topps Chrome,Refractor,,"Aug 11, 2026",Ebay,murozond,$68.82,,,,$68.82,,,,
Thierry Henry,Soccer,In Transit,2026,Panini Prizm World Cup,National Landmarks,,"Aug 31, 2026",Ebay,tull_068,$182.82,,,,$182.82,,,,
Walker Jenkins,Baseball,In Transit from PSA,2025,Bowman Chrome,Crystalized,,"May 25, 2026",Ebay,murozond,$164.74,$35.64,15034230,GEM MT 10,$200.38,,,,
Yan Diomande,Soccer,Lost In Transit,2026,Panini Prizm World Cup,Orange Wave /125,,"Aug 11, 2026",Ebay,murozond,$169.03,,,,$169.03,,,,
Yan Diomande,Soccer,PSA Grading,2026,Panini Prizm World Cup,Old Glory /94,,"Aug 17, 2026",Ebay,murozond,$258.00,,15370614,,$258.00,,,,
Zlatan Ibrahimovic,Soccer,PSA Grading,2025-26,Panini Select Road to FIFA World Cup,Stained Glass,,"Aug 17, 2026",Ebay,murozond,$201.43,,15370614,,$201.43,,,,
Zlatan Ibrahimovic,Soccer,PSA Grading,2026,Panini Prizm FIFA Club World Cup,Kaboom,,"Aug 26, 2026",Ebay,murozond,$433.00,,15370614,,$433.00,,,,
,,,,,,,,,,,,,,$0.00,,,,
,,,,,,,,,,,,,,$0.00,,,,
,,,,,,,,,,,,,,$0.00,,,,
,,,,,,,,,,,,,,$0.00,,,,
,,,,,,,,,,,,,,$0.00,,,,
,,,,,,,,,,$10135.28,$1715.25,,,$11850.53,$0.00,,-$11850.53,
